datetime,open,high,low,close
2022-08-04 10:00:00,134.294,134.387,134.07,134.109
2022-08-04 11:00:00,134.112,134.244,134.07,134.186
2022-08-04 12:00:00,134.182,134.281,133.69,133.79
2022-08-04 13:00:00,133.784,133.867,133.13,133.52
2022-08-04 14:00:00,133.525,133.797,133.4,133.435
2022-08-04 15:00:00,133.435,133.494,133.02,133.123
2022-08-04 16:00:00,133.122,133.395,133.07,133.285
2022-08-04 17:00:00,133.28,133.314,132.91,133.085
2022-08-04 18:00:00,133.086,133.208,133.01,133.138
2022-08-04 19:00:00,133.13,133.184,132.85,132.9
2022-08-04 20:00:00,132.898,132.978,132.73,132.871
2022-08-04 21:00:00,132.872,132.987,132.828,132.886
2022-08-04 22:00:00,132.875,133.02,132.84,132.984
2022-08-04 23:00:00,133.003,133.14,132.85,132.865
2022-08-05 00:00:00,132.872,132.896,132.5,132.617
2022-08-05 01:00:00,132.624,133.009,132.54,132.974
2022-08-05 02:00:00,132.973,133.362,132.92,133.249
2022-08-05 03:00:00,133.25,133.284,133.0,133.24
2022-08-05 04:00:00,133.246,133.255,133.08,133.224
2022-08-05 05:00:00,133.224,133.38,133.15,133.328
2022-08-05 06:00:00,133.333,133.474,133.19,133.285
2022-08-05 07:00:00,133.283,133.444,133.08,133.12
2022-08-05 08:00:00,133.115,133.389,133.09,133.3
2022-08-05 09:00:00,133.299,133.321,133.02,133.083
2022-08-05 10:00:00,133.082,133.174,132.81,133.056
2022-08-05 11:00:00,133.057,133.237,132.89,133.125
2022-08-05 12:00:00,133.127,133.188,133.01,133.145
2022-08-05 13:00:00,133.144,134.858,133.05,134.681
2022-08-05 14:00:00,134.678,135.003,134.6,134.84
2022-08-05 15:00:00,134.877,135.371,134.85,135.307
2022-08-05 16:00:00,135.305,135.506,135.13,135.305
2022-08-05 17:00:00,135.304,135.409,135.03,135.134
2022-08-05 18:00:00,135.134,135.169,134.83,135.047
2022-08-05 19:00:00,135.045,135.155,134.94,135.102
2022-08-05 20:00:00,135.098,135.123,134.9,135.045
